D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518_crop.mp4,698,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509_crop.mp4,741,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519_crop.mp4,625,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505_crop.mp4,676,0.9982
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,338,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,301,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,225,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,525,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,595,0.9983
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,614,0.9983
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,516,0.9983
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,975,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,644,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,1245,0.9983
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,771,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200705_161518_crop.mp4,803,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200708_161553_crop.mp4,753,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200711_161516_crop.mp4,752,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200714_161511_crop.mp4,491,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200717_161614_crop.mp4,544,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200720_161556_crop.mp4,626,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200723_161518_crop.mp4,694,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200726_161509_crop.mp4,741,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200729_161519_crop.mp4,613,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200801_161505_crop.mp4,664,0.9983
D:\Ivan\Test_data\Katipunan\test/VID_20200509_161540_crop.mp4,336,0.9984
D:\Ivan\Test_data\Katipunan\test/VID_20200512_161525_crop.mp4,295,0.9984
D:\Ivan\Test_data\Katipunan\test/VID_20200515_161547_crop.mp4,216,0.9984
D:\Ivan\Test_data\Katipunan\test/VID_20200521_161542_crop.mp4,517,0.9984
D:\Ivan\Test_data\Katipunan\test/VID_20200530_161507_crop.mp4,594,0.9984
D:/Ivan/Test_data/Katipunan/test/VID_20200602_161933_crop.mp4,610,0.9984
D:/Ivan/Test_data/Katipunan/test/VID_20200605_161506_crop.mp4,501,0.9984
D:/Ivan/Test_data/Katipunan/test/VID_20200611_161534_crop.mp4,967,0.9984
D:\Ivan\Test_data\Katipunan\test/VID_20200614_161517_crop.mp4,639,0.9984
D:\Ivan\Test_data\Katipunan\test/VID_20200617_161508_crop.mp4,1236,0.9984
D:/Ivan/Test_data/Katipunan/test/VID_20200620_161507_crop.mp4,760,0.9984
